Scale,county,species,mean_birds,Rank,%,check
County,Moray,Blue Tit,2.933,4,79.31,0
County,Moray,Starling,2.474,5,34.3,0
County,Moray,Coal Tit,1.929,6,64.07,0
County,Moray,Goldfinch,1.686,7,35.39,0
County,Moray,Great Tit,1.645,8,60.8,0
County,Moray,Robin,1.58,9,91.47,0
County,Moray,Greenfinch,1.405,10,42.11,0
County,Moray,Woodpigeon,1.232,11,49.91,0
County,Moray,Dunnock,1.158,12,52.45,0
County,Moray,Collared Dove,0.975,13,38.84,0
County,Moray,Long tailed tit,0.867,14,15.97,0
County,Moray,Carrion crow,0.855,15,28.78,0
County,Moray,Siskin,0.829,16,26.83,0
County,Moray,Feral pigeon,0.554,17,10.98,0
County,Moray,Pheasant,0.513,18,19.51,0
County,Moray,Tree sparrow,0.507,19,10.73,0
County,Moray,Jackdaw,0.505,20,13.66,0
County,Moray,Rook,0.419,21,6.34,0
County,Moray,Common gull,0.351,22,7.8,0
County,Moray,Great spotted woodpecker,0.223,23,17.56,0
County,Moray,Herring gull,0.203,24,8.05,0
County,Moray,Wren,0.191,25,16.34,0
County,Moray,Yellowhammer,0.186,26,8.54,0
County,Moray,Treecreeper,0.118,27,10.73,0
County,Moray,Magpie,0.114,28,5.44,0
County,Moray,Buzzard,0.1,29,7.56,0
County,Moray,Song Thrush,0.09,30,7.07,0
County,Moray,Sparrowhawk,0.076,31,7.56,0
County,Moray,Black headed gull,0.068,32,1.71,0
County,Moray,Fieldfare,0.066,33,2.93,0
County,Moray,Hooded crow,0.056,34,3.17,0
County,Moray,Brambling,0.039,35,2.2,0
County,Moray,Pied wagtail,0.037,36,2.2,0
County,Moray,Red legged partridge,0.027,37,1.22,0
County,Moray,Jay,0.027,38,1.46,0
County,Moray,Blackcap,0.024,39,2.44,0
County,Moray,Bullfinch,0.022,40,1.71,0
County,Moray,Grey heron,0.022,40,1.71,0
County,Moray,Stock dove,0.022,40,0.98,0
County,Moray,Goldcrest,0.015,43,1.46,0
County,Moray,Lesser spotted woodpecker,0.015,44,1.22,0
County,Moray,Red Kite,0.015,44,0.98,0
County,Moray,Kestrel,0.012,46,1.22,0
County,Moray,Redwing,0.01,47,0.24,0
County,Moray,Reed bunting,0.01,47,0.24,0
County,Moray,Chiffchaff,0.007,49,0.73,0
County,Moray,Barn owl,0.007,50,0.73,0
County,Moray,Grey wagtail,0.005,51,0.49,0
County,Moray,Little owl,0.005,51,0.49,0
County,Moray,Mistle thrush,0.005,51,0.49,0
County,Moray,Moorhen,0.005,51,0.24,0
County,Moray,Waxwing,0.002,55,0.98,1
County,Moray,Linnet,0.002,56,0.49,1
County,Moray,Corn bunting,0.002,57,0.24,0
County,Moray,Meadow pipit,0.002,57,0.24,0
County,Moray,Redpoll,0.002,57,0.24,0
County,Moray,Skylark,0.002,57,0.24,0
County,Moray,Black redstart,0,61,0,
County,Moray,Great black backed gull,0,61,0.24,
County,Moray,Green woodpecker,0,61,0,
County,Moray,Grey partridge,0,61,0.24,
County,Moray,Lapwing,0,61,0,
County,Moray,Lesser black backed gull,0,61,0.49,
County,Moray,Mallard,0,61,0,
County,Moray,Marsh tit,0,61,0,
County,Moray,Nuthatch,0,61,0,
County,Moray,Raven,0,61,0.24,
County,Moray,Ring necked parakeet,0,61,0,
County,Moray,Tawny owl,0,61,0,
County,Moray,Willow tit,0,61,0,
County,Neath Port Talbot,House Sparrow,6.456,1,77.58,0
County,Neath Port Talbot,Starling,3.325,2,46.1,0
County,Neath Port Talbot,Blue Tit,3.257,3,80.86,0
County,Neath Port Talbot,Chaffinch,3,4,57.18,0
County,Neath Port Talbot,Blackbird,2.136,5,86.65,0
County,Neath Port Talbot,Jackdaw,1.888,6,39.55,0
County,Neath Port Talbot,Great Tit,1.742,7,58.94,0
County,Neath Port Talbot,Long tailed tit,1.567,8,33,0
County,Neath Port Talbot,Robin,1.525,9,86.9,0
County,Neath Port Talbot,Collared Dove,1.458,10,59.7,0
County,Neath Port Talbot,Magpie,1.295,11,54.91,0
County,Neath Port Talbot,Goldfinch,1.277,12,23.68,0
County,Neath Port Talbot,Coal Tit,1.146,13,47.61,0
County,Neath Port Talbot,Greenfinch,0.71,14,20.4,0
County,Neath Port Talbot,Carrion crow,0.693,15,22.76,0
County,Neath Port Talbot,Dunnock,0.667,16,39.04,0
County,Neath Port Talbot,Nuthatch,0.539,17,31.34,0
County,Neath Port Talbot,Common gull,0.502,18,10.45,0
County,Neath Port Talbot,Woodpigeon,0.486,19,23.43,0
County,Neath Port Talbot,Bullfinch,0.408,20,14.55,0
County,Neath Port Talbot,Feral pigeon,0.396,21,7.46,0
County,Neath Port Talbot,Song Thrush,0.358,22,27.61,0
County,Neath Port Talbot,Siskin,0.321,23,10.82,0
County,Neath Port Talbot,Wren,0.254,24,19.78,0
County,Neath Port Talbot,Great spotted woodpecker,0.179,25,13.43,0
County,Neath Port Talbot,Jay,0.169,26,10.45,0
County,Neath Port Talbot,Pied wagtail,0.157,27,11.94,0
County,Neath Port Talbot,Tree sparrow,0.146,28,3.73,0
County,Neath Port Talbot,Buzzard,0.086,29,5.6,0
County,Neath Port Talbot,Black headed gull,0.078,30,1.12,0
County,Neath Port Talbot,Reed bunting,0.063,31,1.87,0
County,Neath Port Talbot,Herring gull,0.06,32,2.24,0
County,Neath Port Talbot,Grey wagtail,0.052,33,4.1,0
County,Neath Port Talbot,Mistle thrush,0.049,34,4.1,0
County,Neath Port Talbot,Sparrowhawk,0.049,34,4.85,0
County,Neath Port Talbot,Grey heron,0.045,36,3.73,0
County,Neath Port Talbot,Redpoll,0.041,37,1.49,0
County,Neath Port Talbot,Rook,0.037,38,1.49,0
County,Neath Port Talbot,Blackcap,0.034,39,2.61,0
County,Neath Port Talbot,Treecreeper,0.026,40,1.87,0
County,Neath Port Talbot,Lesser spotted woodpecker,0.022,41,2.24,0
County,Neath Port Talbot,Goldcrest,0.019,42,1.12,0
County,Neath Port Talbot,Red Kite,0.019,42,1.87,0
County,Neath Port Talbot,Raven,0.015,44,1.12,0
County,Neath Port Talbot,Chiffchaff,0.011,45,1.12,0
County,Neath Port Talbot,Marsh tit,0.011,46,0.75,0
County,Neath Port Talbot,Willow tit,0.011,46,0.75,0
County,Neath Port Talbot,Green woodpecker,0.007,48,1.12,1
County,Neath Port Talbot,Barn owl,0.007,49,0.75,0
County,Neath Port Talbot,Brambling,0.007,49,0.37,0
County,Neath Port Talbot,Stock dove,0.007,49,0.37,0
County,Neath Port Talbot,Kestrel,0.004,52,1.12,1
County,Neath Port Talbot,Lesser black backed gull,0.004,53,0.37,0
County,Neath Port Talbot,Moorhen,0.004,53,0.37,0
County,Neath Port Talbot,Pheasant,0.004,53,0.37,0
County,Neath Port Talbot,Redwing,0.004,53,0.37,0
County,Neath Port Talbot,Tawny owl,0.004,53,0.37,0
County,Neath Port Talbot,Black redstart,0,58,0,
County,Neath Port Talbot,Corn bunting,0,58,0,
County,Neath Port Talbot,Fieldfare,0,58,0,
County,Neath Port Talbot,Great black backed gull,0,58,0,
County,Neath Port Talbot,Grey partridge,0,58,0,
County,Neath Port Talbot,Hooded crow,0,58,0,
County,Neath Port Talbot,Lapwing,0,58,0,
County,Neath Port Talbot,Linnet,0,58,0,
County,Neath Port Talbot,Little owl,0,58,0,
County,Neath Port Talbot,Mallard,0,58,0,
County,Neath Port Talbot,Meadow pipit,0,58,0,
County,Neath Port Talbot,Red legged partridge,0,58,0,
County,Neath Port Talbot,Ring necked parakeet,0,58,0,
County,Neath Port Talbot,Skylark,0,58,0,
County,Neath Port Talbot,Waxwing,0,58,0,
County,Neath Port Talbot,Yellowhammer,0,58,0,
County,Newport,House Sparrow,6.11,1,75.54,0
County,Newport,Blue Tit,3.3,2,81.26,0
County,Newport,Starling,2.712,3,36.29,0
County,Newport,Blackbird,2.124,4,86.79,0
County,Newport,Jackdaw,1.579,5,35.59,0
County,Newport,Magpie,1.533,6,62.92,0
County,Newport,Great Tit,1.488,7,50.89,0
County,Newport,Collared Dove,1.394,8,55.82,0
County,Newport,Goldfinch,1.385,9,24.26,0
County,Newport,Chaffinch,1.371,10,43.79,0
County,Newport,Robin,1.308,11,85.01,0
County,Newport,Woodpigeon,1.047,12,51.28,0
County,Newport,Feral pigeon,0.977,13,20.9,0
County,Newport,Long tailed tit,0.895,14,24.26,0
County,Newport,Dunnock,0.781,15,37.48,0
County,Newport,Greenfinch,0.637,16,19.13,0
County,Newport,Coal Tit,0.567,17,29.78,0
County,Newport,Carrion crow,0.508,18,19.77,0
County,Newport,Wren,0.274,19,23.73,0
County,Newport,Common gull,0.181,20,3.95,0
County,Newport,Song Thrush,0.124,21,10.73,0
County,Newport,Great spotted woodpecker,0.121,22,9.89,0
County,Newport,Tree sparrow,0.119,23,2.54,0
County,Newport,Fieldfare,0.113,24,0.85,0
County,Newport,Bullfinch,0.11,25,6.5,0
County,Newport,Pied wagtail,0.108,26,7.91,0
County,Newport,Blackcap,0.107,27,8.47,0
County,Newport,Nuthatch,0.102,28,7.34,0
County,Newport,Jay,0.088,29,5.93,0
County,Newport,Herring gull,0.085,30,2.26,0
County,Newport,Siskin,0.051,31,2.82,0
County,Newport,Buzzard,0.048,32,3.67,0
County,Newport,Goldcrest,0.042,33,3.39,0
County,Newport,Black headed gull,0.037,34,0.85,0
County,Newport,Green woodpecker,0.037,34,3.67,0
County,Newport,Grey wagtail,0.037,34,3.11,0
County,Newport,Mallard,0.034,37,0.56,0
County,Newport,Sparrowhawk,0.028,38,2.82,0
County,Newport,Reed bunting,0.025,39,1.69,0
County,Newport,Redwing,0.023,40,1.13,0
County,Newport,Rook,0.017,41,1.13,0
County,Newport,Treecreeper,0.017,41,1.69,0
County,Newport,Marsh tit,0.014,43,0.85,0
County,Newport,Lesser spotted woodpecker,0.011,44,1.13,0
County,Newport,Mistle thrush,0.011,44,1.13,0
County,Newport,Moorhen,0.011,44,0.56,0
County,Newport,Pheasant,0.011,44,0.85,0
County,Newport,Stock dove,0.011,44,0.56,0
County,Newport,Linnet,0.008,49,0.28,0
County,Newport,Raven,0.008,49,0.56,0
County,Newport,Red Kite,0.008,49,0.56,0
County,Newport,Chiffchaff,0.006,52,0.85,1
County,Newport,Grey heron,0.006,53,0.56,0
County,Newport,Kestrel,0.003,54,0.28,0
County,Newport,Little owl,0.003,54,0.28,0
County,Newport,Redpoll,0.003,54,0.28,0
County,Newport,Yellowhammer,0.003,54,0.28,0
County,Newport,Barn owl,0,58,0.28,
County,Newport,Black redstart,0,58,0,
County,Newport,Brambling,0,58,0,
County,Newport,Corn bunting,0,58,0,
County,Newport,Great black backed gull,0,58,0.28,
County,Newport,Grey partridge,0,58,0,
County,Newport,Hooded crow,0,58,0,
County,Newport,Lapwing,0,58,0,
County,Newport,Lesser black backed gull,0,58,0.28,
County,Newport,Meadow pipit,0,58,0,
County,Newport,Red legged partridge,0,58,0,
County,Newport,Ring necked parakeet,0,58,0,
County,Newport,Skylark,0,58,0,
County,Newport,Tawny owl,0,58,0.28,
County,Newport,Waxwing,0,58,0,
County,Newport,Willow tit,0,58,0,
County,Norfolk,Blackbird,3.649,1,96.64,0
County,Norfolk,House Sparrow,3.498,2,57.75,0
County,Norfolk,Starling,3.032,3,48.95,0
County,Norfolk,Blue Tit,2.628,4,84.28,0
County,Norfolk,Woodpigeon,2.546,5,77.47,0
County,Norfolk,Chaffinch,2.245,6,63.53,0
County,Norfolk,Collared Dove,2.162,7,73.62,0
County,Norfolk,Goldfinch,2.013,8,42.36,0
County,Norfolk,Great Tit,1.664,9,65.15,0
County,Norfolk,Robin,1.394,10,85.13,0
County,Norfolk,Dunnock,1.326,11,61.78,0
County,Norfolk,Greenfinch,1.193,12,36.46,0
County,Norfolk,Long tailed tit,1.135,13,30.82,0
County,Norfolk,Coal Tit,0.584,14,32.56,0
County,Norfolk,Feral pigeon,0.552,15,17.44,0
County,Norfolk,Magpie,0.461,16,26.16,0
County,Norfolk,Jackdaw,0.425,17,13.92,0
County,Norfolk,Common gull,0.404,18,7.6,0
County,Norfolk,Pheasant,0.369,19,17.18,0
County,Norfolk,Wren,0.35,20,29.17,0
County,Norfolk,Carrion crow,0.336,21,11.73,0
County,Norfolk,Black headed gull,0.27,22,5.29,0
County,Norfolk,Rook,0.2,23,4.15,0
County,Norfolk,Song Thrush,0.165,24,13.01,0
County,Norfolk,Fieldfare,0.151,25,2.57,0
County,Norfolk,Jay,0.143,26,10.11,0
County,Norfolk,Redwing,0.116,27,2.41,0
County,Norfolk,Great spotted woodpecker,0.107,28,9.38,0
County,Norfolk,Moorhen,0.088,29,4.32,0
County,Norfolk,Tree sparrow,0.085,30,2.31,0
County,Norfolk,Mallard,0.085,31,2.05,0
County,Norfolk,Bullfinch,0.06,32,3.5,0
County,Norfolk,Nuthatch,0.056,33,4.03,0
County,Norfolk,Pied wagtail,0.053,34,3.79,0
County,Norfolk,Green woodpecker,0.043,35,4.07,0
County,Norfolk,Siskin,0.042,36,2.05,0
County,Norfolk,Red legged partridge,0.04,37,1.97,0
County,Norfolk,Sparrowhawk,0.037,38,3.57,0
County,Norfolk,Stock dove,0.036,39,2.25,0
County,Norfolk,Redpoll,0.033,40,1.3,0
County,Norfolk,Marsh tit,0.033,41,2.59,0
County,Norfolk,Reed bunting,0.027,42,1.34,0
County,Norfolk,Red Kite,0.024,43,1.26,0
County,Norfolk,Herring gull,0.024,44,0.89,0
County,Norfolk,Yellowhammer,0.023,45,0.99,0
County,Norfolk,Blackcap,0.02,46,1.72,0
County,Norfolk,Goldcrest,0.019,47,1.58,0
County,Norfolk,Brambling,0.017,48,1.26,0
County,Norfolk,Grey heron,0.016,49,1.42,0
County,Norfolk,Mistle thrush,0.015,50,1.42,0
County,Norfolk,Treecreeper,0.015,51,1.38,0
County,Norfolk,Barn owl,0.012,52,1.3,1
County,Norfolk,Willow tit,0.01,53,0.89,0
County,Norfolk,Kestrel,0.01,54,1.11,1
County,Norfolk,Lesser spotted woodpecker,0.009,55,0.79,0
County,Norfolk,Grey wagtail,0.008,56,0.77,0
County,Norfolk,Buzzard,0.008,57,0.53,0
County,Norfolk,Linnet,0.005,58,0.39,0
County,Norfolk,Grey partridge,0.004,59,0.53,1
County,Norfolk,Chiffchaff,0.004,60,0.36,0
County,Norfolk,Tawny owl,0.002,61,0.26,1
County,Norfolk,Little owl,0.001,62,0.2,1
County,Norfolk,Lapwing,0.001,63,0.14,1
County,Norfolk,Great black backed gull,0,64,0.16,1
County,Norfolk,Lesser black backed gull,0,65,0.12,1
County,Norfolk,Corn bunting,0,66,0.08,1
County,Norfolk,Raven,0,66,0.06,1
County,Norfolk,Waxwing,0,68,0.14,1
County,Norfolk,Skylark,0,69,0.06,1
County,Norfolk,Black redstart,0,70,0,
County,Norfolk,Hooded crow,0,70,0,
County,Norfolk,Meadow pipit,0,70,0.02,
County,Norfolk,Ring necked parakeet,0,70,0,
County,North Ayrshire,House Sparrow,4.848,1,68.48,0
County,North Ayrshire,Chaffinch,4.713,2,70.91,0
County,North Ayrshire,Starling,3.636,3,44.04,0
County,North Ayrshire,Blue Tit,2.727,4,79.8,0
County,North Ayrshire,Blackbird,2.688,5,91.31,0
County,North Ayrshire,Great Tit,1.493,6,56.77,0
County,North Ayrshire,Coal Tit,1.486,7,56.57,0
County,North Ayrshire,Robin,1.424,8,89.9,0
County,North Ayrshire,Jackdaw,1.37,9,32.85,0
County,North Ayrshire,Collared Dove,1.312,10,51.92,0
County,North Ayrshire,Goldfinch,1.244,11,21.82,0
County,North Ayrshire,Feral pigeon,1.205,12,26.8,0
County,North Ayrshire,Magpie,1.123,13,50.71,0
County,North Ayrshire,Carrion crow,1.052,14,34.01,0
County,North Ayrshire,Greenfinch,0.907,15,27.47,0
County,North Ayrshire,Dunnock,0.897,16,46.06,0
County,North Ayrshire,Woodpigeon,0.778,17,30.51,0
County,North Ayrshire,Long tailed tit,0.603,18,11.72,0
County,North Ayrshire,Common gull,0.545,19,12.1,0
County,North Ayrshire,Siskin,0.315,20,9.8,0
County,North Ayrshire,Wren,0.268,21,20.46,0
County,North Ayrshire,Song Thrush,0.223,22,18.73,0
County,North Ayrshire,Rook,0.199,23,5.48,0
County,North Ayrshire,Herring gull,0.188,24,5.48,0
County,North Ayrshire,Fieldfare,0.141,25,1.15,0
County,North Ayrshire,Pheasant,0.141,25,6.05,0
County,North Ayrshire,Great spotted woodpecker,0.115,27,9.8,0
County,North Ayrshire,Bullfinch,0.095,28,4.32,0
County,North Ayrshire,Sparrowhawk,0.081,29,7.78,0
County,North Ayrshire,Yellowhammer,0.069,30,2.59,0
County,North Ayrshire,Hooded crow,0.055,31,3.46,0
County,North Ayrshire,Tree sparrow,0.052,32,1.44,0
County,North Ayrshire,Reed bunting,0.04,33,1.44,0
County,North Ayrshire,Mallard,0.035,34,0.29,0
County,North Ayrshire,Pied wagtail,0.035,34,2.31,0
County,North Ayrshire,Treecreeper,0.032,36,2.88,0
County,North Ayrshire,Buzzard,0.029,37,2.31,0
County,North Ayrshire,Grey heron,0.02,38,2.31,1
County,North Ayrshire,Black headed gull,0.017,39,1.15,0
County,North Ayrshire,Blackcap,0.017,40,1.73,0
County,North Ayrshire,Brambling,0.014,41,1.15,0
County,North Ayrshire,Mistle thrush,0.012,42,0.86,0
County,North Ayrshire,Raven,0.009,43,0.86,0
County,North Ayrshire,Kestrel,0.009,44,0.86,0
County,North Ayrshire,Lesser spotted woodpecker,0.009,44,0.58,0
County,North Ayrshire,Marsh tit,0.009,44,0.29,0
County,North Ayrshire,Red Kite,0.009,44,0.58,0
County,North Ayrshire,Redpoll,0.009,44,0.29,0
County,North Ayrshire,Stock dove,0.009,44,0.58,0
County,North Ayrshire,Moorhen,0.006,50,0.29,0
County,North Ayrshire,Lesser black backed gull,0.003,51,0.58,1
County,North Ayrshire,Barn owl,0.003,52,0.29,0
County,North Ayrshire,Goldcrest,0.003,52,0.29,0
County,North Ayrshire,Green woodpecker,0.003,52,0.29,0
County,North Ayrshire,Jay,0.003,52,0.29,0
County,North Ayrshire,Black redstart,0,56,0,
County,North Ayrshire,Chiffchaff,0,56,0,
County,North Ayrshire,Corn bunting,0,56,0,
County,North Ayrshire,Great black backed gull,0,56,0.58,
County,North Ayrshire,Grey partridge,0,56,0,
County,North Ayrshire,Grey wagtail,0,56,0,
County,North Ayrshire,Lapwing,0,56,0,
County,North Ayrshire,Linnet,0,56,0,
County,North Ayrshire,Little owl,0,56,0,
County,North Ayrshire,Meadow pipit,0,56,0,
County,North Ayrshire,Nuthatch,0,56,0,
County,North Ayrshire,Red legged partridge,0,56,0,
County,North Ayrshire,Redwing,0,56,0,
County,North Ayrshire,Ring necked parakeet,0,56,0,
County,North Ayrshire,Skylark,0,56,0,
County,North Ayrshire,Tawny owl,0,56,0,
County,North Ayrshire,Waxwing,0,56,0,
County,North Ayrshire,Willow tit,0,56,0,
County,North Lanarkshire,Starling,6.634,1,61.01,0
County,North Lanarkshire,House Sparrow,4.848,2,71.26,0
County,North Lanarkshire,Blue Tit,3.125,3,79.83,0
County,North Lanarkshire,Chaffinch,3.082,4,63.36,0
County,North Lanarkshire,Blackbird,2.648,5,91.43,0
County,North Lanarkshire,Great Tit,2.01,6,64.2,0
County,North Lanarkshire,Feral pigeon,2.01,7,37.86,0
County,North Lanarkshire,Magpie,1.715,8,69.24,0
County,North Lanarkshire,Robin,1.448,9,90.76,0
County,North Lanarkshire,Woodpigeon,1.417,10,50.92,0
County,North Lanarkshire,Coal Tit,1.384,11,55.8,0
County,North Lanarkshire,Goldfinch,1.33,12,23.53,0
County,North Lanarkshire,Carrion crow,1.146,13,39.08,0
County,North Lanarkshire,Dunnock,1.111,14,48.91,0
County,North Lanarkshire,Greenfinch,1.039,15,30.76,0
County,North Lanarkshire,Long tailed tit,0.956,16,19.16,0
County,North Lanarkshire,Collared Dove,0.95,17,40,0
County,North Lanarkshire,Jackdaw,0.655,18,22.57,0
County,North Lanarkshire,Siskin,0.558,19,12.14,0
County,North Lanarkshire,Common gull,0.238,20,6.07,0
County,North Lanarkshire,Wren,0.187,21,14.56,0
County,North Lanarkshire,Bullfinch,0.18,22,7.77,0
County,North Lanarkshire,Rook,0.163,23,5.83,0
County,North Lanarkshire,Great spotted woodpecker,0.136,24,11.89,0
County,North Lanarkshire,Song Thrush,0.133,25,10.68,0
County,North Lanarkshire,Redpoll,0.083,26,3.4,0
County,North Lanarkshire,Sparrowhawk,0.078,27,7.28,0
County,North Lanarkshire,Tree sparrow,0.078,27,2.67,0
County,North Lanarkshire,Mallard,0.051,29,1.21,0
County,North Lanarkshire,Black headed gull,0.051,30,2.18,0
County,North Lanarkshire,Reed bunting,0.051,31,2.43,0
County,North Lanarkshire,Pied wagtail,0.041,32,2.67,0
County,North Lanarkshire,Herring gull,0.039,33,2.43,0
County,North Lanarkshire,Pheasant,0.036,34,1.21,0
County,North Lanarkshire,Hooded crow,0.034,35,1.46,0
County,North Lanarkshire,Buzzard,0.032,36,1.94,0
County,North Lanarkshire,Yellowhammer,0.029,37,0.97,0
County,North Lanarkshire,Mistle thrush,0.022,38,1.7,0
County,North Lanarkshire,Red Kite,0.022,38,0.97,0
County,North Lanarkshire,Fieldfare,0.019,40,0.24,0
County,North Lanarkshire,Lesser spotted woodpecker,0.019,40,1.7,0
County,North Lanarkshire,Nuthatch,0.019,40,0.97,0
County,North Lanarkshire,Kestrel,0.017,43,1.7,0
County,North Lanarkshire,Treecreeper,0.015,44,1.46,0
County,North Lanarkshire,Moorhen,0.012,45,1.21,0
County,North Lanarkshire,Brambling,0.01,46,0.73,0
County,North Lanarkshire,Grey heron,0.007,47,0.73,0
County,North Lanarkshire,Goldcrest,0.005,48,0.73,1
County,North Lanarkshire,Blackcap,0.005,49,0.49,0
County,North Lanarkshire,Green woodpecker,0.005,49,0.49,0
County,North Lanarkshire,Grey wagtail,0.005,49,0.49,0
County,North Lanarkshire,Stock dove,0.005,49,0.24,0
County,North Lanarkshire,Great black backed gull,0.002,53,0.49,1
County,North Lanarkshire,Jay,0.002,54,0.24,0
County,North Lanarkshire,Lesser black backed gull,0.002,54,0.24,0
County,North Lanarkshire,Raven,0.002,54,0.24,0
County,North Lanarkshire,Barn owl,0,57,0,
County,North Lanarkshire,Black redstart,0,57,0,
County,North Lanarkshire,Chiffchaff,0,57,0.24,
County,North Lanarkshire,Corn bunting,0,57,0,
County,North Lanarkshire,Grey partridge,0,57,0,
County,North Lanarkshire,Lapwing,0,57,0.24,
County,North Lanarkshire,Linnet,0,57,0.24,
County,North Lanarkshire,Little owl,0,57,0,
County,North Lanarkshire,Marsh tit,0,57,0,
County,North Lanarkshire,Meadow pipit,0,57,0,
County,North Lanarkshire,Red legged partridge,0,57,0,
County,North Lanarkshire,Redwing,0,57,0,
County,North Lanarkshire,Ring necked parakeet,0,57,0,
County,North Lanarkshire,Skylark,0,57,0,
County,North Lanarkshire,Tawny owl,0,57,0,
County,North Lanarkshire,Waxwing,0,57,0,
County,North Lanarkshire,Willow tit,0,57,0,
County,North Yorkshire,House Sparrow,5.577,1,73.89,0
County,North Yorkshire,Starling,3.532,2,48.01,0
County,North Yorkshire,Blackbird,3.523,3,95.83,0
County,North Yorkshire,Blue Tit,2.897,4,83.36,0
County,North Yorkshire,Chaffinch,2.366,5,59.08,0
County,North Yorkshire,Goldfinch,1.844,6,37.45,0
County,North Yorkshire,Woodpigeon,1.676,7,61.3,0
County,North Yorkshire,Collared Dove,1.533,8,60.81,0
County,North Yorkshire,Great Tit,1.501,9,60.59,0
County,North Yorkshire,Dunnock,1.304,10,59.05,0
County,North Yorkshire,Robin,1.258,11,82.67,0
County,North Yorkshire,Long tailed tit,0.966,12,23.5,0
County,North Yorkshire,Coal Tit,0.961,13,50.19,0
County,North Yorkshire,Greenfinch,0.899,14,30.38,0
County,North Yorkshire,Tree sparrow,0.811,15,15.67,0
County,North Yorkshire,Jackdaw,0.701,16,20.41,0
County,North Yorkshire,Carrion crow,0.595,17,23.78,0
County,North Yorkshire,Feral pigeon,0.586,18,17.68,0
County,North Yorkshire,Magpie,0.523,19,29.43,0
County,North Yorkshire,Pheasant,0.431,20,18.33,0
County,North Yorkshire,Wren,0.338,21,27.98,0
County,North Yorkshire,Rook,0.231,22,5.6,0
County,North Yorkshire,Bullfinch,0.216,23,10.41,0
County,North Yorkshire,Great spotted woodpecker,0.176,24,14.56,0
County,North Yorkshire,Song Thrush,0.13,25,10.33,0
County,North Yorkshire,Nuthatch,0.117,26,8.36,0
County,North Yorkshire,Common gull,0.11,27,2.84,0
County,North Yorkshire,Sparrowhawk,0.081,28,7.88,0
County,North Yorkshire,Mallard,0.078,29,1.67,0
County,North Yorkshire,Siskin,0.074,30,3.09,0
County,North Yorkshire,Fieldfare,0.07,31,1.24,0
County,North Yorkshire,Black headed gull,0.062,32,1.54,0
County,North Yorkshire,Yellowhammer,0.049,33,2.28,0
County,North Yorkshire,Moorhen,0.038,34,2.05,0
County,North Yorkshire,Marsh tit,0.035,35,2.3,0
County,North Yorkshire,Redpoll,0.033,36,1.29,0
County,North Yorkshire,Treecreeper,0.027,37,2.53,0
County,North Yorkshire,Pied wagtail,0.027,38,1.82,0
County,North Yorkshire,Herring gull,0.025,39,1.06,0
County,North Yorkshire,Blackcap,0.022,40,1.65,0
County,North Yorkshire,Redwing,0.021,41,0.79,0
County,North Yorkshire,Mistle thrush,0.021,42,1.75,0
County,North Yorkshire,Red Kite,0.021,43,0.76,0
County,North Yorkshire,Brambling,0.02,44,1.19,0
County,North Yorkshire,Willow tit,0.019,45,1.47,0
County,North Yorkshire,Stock dove,0.019,46,1.09,0
County,North Yorkshire,Goldcrest,0.018,47,1.54,0
County,North Yorkshire,Reed bunting,0.016,48,0.63,0
County,North Yorkshire,Red legged partridge,0.014,49,0.66,0
County,North Yorkshire,Buzzard,0.014,50,0.91,0
County,North Yorkshire,Kestrel,0.013,51,1.42,1
County,North Yorkshire,Jay,0.013,52,1.09,0
County,North Yorkshire,Grey heron,0.012,53,1.19,0
County,North Yorkshire,Lesser spotted woodpecker,0.011,54,1.01,0
County,North Yorkshire,Grey wagtail,0.006,55,0.51,0
County,North Yorkshire,Green woodpecker,0.005,56,0.51,0
County,North Yorkshire,Barn owl,0.004,57,0.43,1
County,North Yorkshire,Tawny owl,0.002,58,0.33,1
County,North Yorkshire,Little owl,0.002,59,0.3,1
County,North Yorkshire,Chiffchaff,0.002,60,0.33,1
County,North Yorkshire,Linnet,0.002,61,0.2,1
County,North Yorkshire,Raven,0.002,62,0.1,0
County,North Yorkshire,Grey partridge,0.001,63,0.3,1
County,North Yorkshire,Corn bunting,0.001,64,0.15,1
County,North Yorkshire,Waxwing,0.001,65,0.13,1
County,North Yorkshire,Lapwing,0,66,0.13,1
County,North Yorkshire,Lesser black backed gull,0,67,0.08,1
County,North Yorkshire,Black redstart,0,68,0.03,
County,North Yorkshire,Great black backed gull,0,68,0.03,
County,North Yorkshire,Hooded crow,0,68,0,
County,North Yorkshire,Meadow pipit,0,68,0.03,
County,North Yorkshire,Ring necked parakeet,0,68,0,
County,North Yorkshire,Skylark,0,68,0.05,
County,Northamptonshire,House Sparrow,5.149,1,72.27,0
County,Northamptonshire,Starling,3.456,2,50.8,0
County,Northamptonshire,Blackbird,2.68,3,92.38,0
County,Northamptonshire,Blue Tit,2.656,4,80.19,0
County,Northamptonshire,Woodpigeon,2.084,5,72.75,0
County,Northamptonshire,Goldfinch,1.92,6,39.48,0
County,Northamptonshire,Chaffinch,1.757,7,53.88,0
County,Northamptonshire,Great Tit,1.532,8,57.01,0
County,Northamptonshire,Collared Dove,1.506,9,59.14,0
County,Northamptonshire,Robin,1.259,10,79.68,0
County,Northamptonshire,Dunnock,1.226,11,55.26,0
County,Northamptonshire,Greenfinch,0.882,12,28.71,0
