Scale,county,species,mean_birds,Rank,%,check
Country,Scotland,Fieldfare,0.08,30,1.61,0
Country,Scotland,Buzzard,0.071,31,4.99,0
Country,Scotland,Sparrowhawk,0.071,32,6.93,0
Country,Scotland,Hooded crow,0.055,33,3.13,0
Country,Scotland,Treecreeper,0.05,34,4.56,0
Country,Scotland,Black headed gull,0.048,35,1.58,0
Country,Scotland,Nuthatch,0.047,36,3.23,0
Country,Scotland,Redpoll,0.041,37,1.31,0
Country,Scotland,Mallard,0.039,38,0.83,0
Country,Scotland,Brambling,0.037,39,2.4,0
Country,Scotland,Jay,0.036,40,2.05,0
Country,Scotland,Pied wagtail,0.028,41,1.84,0
Country,Scotland,Redwing,0.026,42,0.68,0
Country,Scotland,Blackcap,0.024,43,2,0
Country,Scotland,Red Kite,0.024,44,1.13,0
Country,Scotland,Reed bunting,0.02,45,1,0
Country,Scotland,Grey heron,0.02,46,1.86,0
Country,Scotland,Goldcrest,0.012,47,1.06,0
Country,Scotland,Lesser spotted woodpecker,0.012,48,1.02,0
Country,Scotland,Red legged partridge,0.012,49,0.6,0
Country,Scotland,Mistle thrush,0.011,50,1,0
Country,Scotland,Kestrel,0.011,51,1.2,1
Country,Scotland,Moorhen,0.009,52,0.44,0
Country,Scotland,Stock dove,0.009,53,0.51,0
Country,Scotland,Raven,0.008,54,0.67,0
Country,Scotland,Grey wagtail,0.006,55,0.56,0
Country,Scotland,Linnet,0.004,56,0.33,0
Country,Scotland,Green woodpecker,0.003,57,0.27,0
Country,Scotland,Chiffchaff,0.002,58,0.27,1
Country,Scotland,Barn owl,0.002,59,0.27,1
Country,Scotland,Marsh tit,0.002,60,0.12,0
Country,Scotland,Grey partridge,0.001,61,0.22,1
Country,Scotland,Great black backed gull,0.001,62,0.29,1
Country,Scotland,Tawny owl,0.001,63,0.15,1
Country,Scotland,Willow tit,0.001,64,0.09,1
Country,Scotland,Lesser black backed gull,0.001,65,0.26,1
Country,Scotland,Ring necked parakeet,0.001,66,0.02,0
Country,Scotland,Corn bunting,0.001,67,0.11,1
Country,Scotland,Little owl,0,68,0.06,1
Country,Scotland,Waxwing,0,69,0.11,1
Country,Scotland,Skylark,0,70,0.07,1
Country,Scotland,Meadow pipit,0,71,0.07,1
Country,Scotland,Lapwing,0,72,0.11,1
Country,Scotland,Black redstart,0,73,0.02,1
Country,UK,House Sparrow,4.471,1,63.98,0
Country,UK,Starling,3.11,2,42.73,0
Country,UK,Blue Tit,2.961,3,83.5,0
Country,UK,Blackbird,2.559,4,89.99,0
Country,UK,Chaffinch,2.048,5,52.02,0
Country,UK,Woodpigeon,1.882,6,66.29,0
Country,UK,Goldfinch,1.577,7,33.25,0
Country,UK,Great Tit,1.563,8,59.88,0
Country,UK,Robin,1.357,9,84.24,0
Country,UK,Collared Dove,1.315,10,51.49,0
Country,UK,Dunnock,1.069,11,51.83,0
Country,UK,Magpie,0.961,12,47.15,0
Country,UK,Long tailed tit,0.858,13,24.39,0
Country,UK,Greenfinch,0.836,14,27.35,0
Country,UK,Feral pigeon,0.735,15,19.63,0
Country,UK,Coal Tit,0.69,16,34.27,0
Country,UK,Jackdaw,0.636,17,17.61,0
Country,UK,Carrion crow,0.627,18,24.34,0
Country,UK,Wren,0.296,19,25.05,0
Country,UK,Common gull,0.234,20,5.08,0
Country,UK,Pheasant,0.183,21,8.3,0
Country,UK,Song Thrush,0.175,22,13.67,0
Country,UK,Bullfinch,0.175,23,8.6,0
Country,UK,Great spotted woodpecker,0.173,24,14.26,0
Country,UK,Rook,0.161,25,3.79,0
Country,UK,Tree sparrow,0.151,26,3.45,0
Country,UK,Nuthatch,0.142,27,9.8,0
Country,UK,Fieldfare,0.128,28,2.29,0
Country,UK,Redwing,0.124,29,3.15,0
Country,UK,Siskin,0.101,30,3.67,0
Country,UK,Jay,0.09,31,6.39,0
Country,UK,Black headed gull,0.085,32,1.99,0
Country,UK,Pied wagtail,0.074,33,5.11,0
Country,UK,Blackcap,0.062,34,4.87,0
Country,UK,Ring necked parakeet,0.057,35,1.97,0
Country,UK,Mallard,0.052,36,1.16,0
Country,UK,Herring gull,0.051,37,1.97,0
Country,UK,Redpoll,0.05,38,1.62,0
Country,UK,Sparrowhawk,0.049,39,4.78,0
Country,UK,Buzzard,0.037,40,2.48,0
Country,UK,Green woodpecker,0.032,41,2.95,0
Country,UK,Moorhen,0.029,42,1.42,0
Country,UK,Yellowhammer,0.027,43,1.19,0
Country,UK,Reed bunting,0.024,44,1.14,0
Country,UK,Red Kite,0.023,45,1.13,0
Country,UK,Goldcrest,0.022,46,1.78,0
Country,UK,Treecreeper,0.019,47,1.75,0
Country,UK,Mistle thrush,0.018,48,1.52,0
Country,UK,Grey heron,0.017,49,1.66,0
Country,UK,Stock dove,0.017,50,0.97,0
Country,UK,Grey wagtail,0.017,51,1.4,0
Country,UK,Marsh tit,0.016,52,1.23,0
Country,UK,Lesser spotted woodpecker,0.014,53,1.28,0
Country,UK,Brambling,0.011,54,0.76,0
Country,UK,Kestrel,0.01,55,1.06,1
Country,UK,Willow tit,0.008,56,0.66,0
Country,UK,Red legged partridge,0.008,57,0.41,0
Country,UK,Hooded crow,0.005,58,0.31,0
Country,UK,Chiffchaff,0.004,59,0.42,0
Country,UK,Raven,0.004,60,0.38,0
Country,UK,Linnet,0.004,61,0.32,0
