2014,county,species,mean_birds,rank_birds,% gardens,
NIRO,Antrim,Tawny owl,0,71,0,
NIRO,Antrim,Waxwing,0,72,0,
NIRO,Antrim,Willow tit,0,73,0,
SWSRO,Argyll and Bute,Chaffinch,8.416,1,82.33,
SWSRO,Argyll and Bute,House sparrow,4.594,2,56.59,
SWSRO,Argyll and Bute,Blue tit,3.167,3,78.14,
SWSRO,Argyll and Bute,Blackbird,2.485,4,83.1,
SWSRO,Argyll and Bute,Great tit,2.059,5,67.6,
SWSRO,Argyll and Bute,Coal tit,1.634,6,57.83,
SWSRO,Argyll and Bute,Starling,1.591,7,19.22,
SWSRO,Argyll and Bute,Robin,1.575,8,86.98,
SWSRO,Argyll and Bute,Dunnock,1.417,9,59.69,
SWSRO,Argyll and Bute,Goldfinch,1.146,10,28.37,
SWSRO,Argyll and Bute,Woodpigeon,1.146,11,34.42,
SWSRO,Argyll and Bute,Collared dove,0.961,12,34.26,
SWSRO,Argyll and Bute,Greenfinch,0.806,13,26.36,
SWSRO,Argyll and Bute,Siskin,0.73,14,19.31,
SWSRO,Argyll and Bute,Feral pigeon,0.728,15,12.38,
SWSRO,Argyll and Bute,Carrion crow,0.597,16,23.27,
SWSRO,Argyll and Bute,Jackdaw,0.438,17,11.88,
SWSRO,Argyll and Bute,Magpie,0.411,18,18.29,
SWSRO,Argyll and Bute,Long tailed tit,0.353,19,7.13,
SWSRO,Argyll and Bute,Wren,0.223,20,16.34,
SWSRO,Argyll and Bute,Song thrush,0.149,21,12.62,
SWSRO,Argyll and Bute,Pheasant,0.131,22,6.19,
SWSRO,Argyll and Bute,Great spotted woodpecker,0.119,23,8.91,
SWSRO,Argyll and Bute,Hooded crow,0.114,24,7.18,
SWSRO,Argyll and Bute,Herring gull,0.111,25,3.71,
SWSRO,Argyll and Bute,Bullfinch,0.087,26,3.47,
SWSRO,Argyll and Bute,Yellowhammer,0.087,27,2.97,
SWSRO,Argyll and Bute,Jay,0.082,28,4.46,
SWSRO,Argyll and Bute,Rook,0.079,29,2.48,
SWSRO,Argyll and Bute,Redpoll,0.064,30,1.98,
SWSRO,Argyll and Bute,Buzzard,0.054,31,3.47,
