SRC_ID,LATITUDE,LONGITUDE,SITE_ELEVATION,SITE_NAME
61730,51.135235,-1.692721,104,Porton Down
61737,-51.67381,-58.10817,458,Mount Kent Falkland Islands
61743,-51.424114,-60.564034,480,Mount Byron Falkland Islands
61744,-52.153557,-60.59844,361,Mount Alice Falkland Islands
61843,52.83407,0.4895298,23,Dersingham Bog NNR
61844,52.387596,-2.3550942,58,Wyre Forest NNR
61846,50.968975,-1.917848,79,Martin Down NNR
61847,50.98282,-1.0820173,197,Old Winchester Hill NNR
61897,53.4156,-4.482336,21,Wylfa Power Station
61907,50.00179,-5.22526,89.9,Predannack
61912,51.640381,-5.000284,80,Castlemartin Warren
61915,52.6898619,1.46820436,5,Bure Marshes NNR
61937,54.18,-2.368,376,Ingleborough NNR
61938,50.59231,-3.71672,200,Yarner Wood NNR
61939,51.25136,-1.758847,130,Netheravon Camp
61948,52.783085,-2.320218,102,Mottey Meadows NNR
61949,52.923355,-2.7306516,89,Whixall Mosses NNR
61973,53.261709,-1.7358151,340,Derbyshire Dales NNR
61974,53.017204,0.9213952,66,Syerston
61982,51.60077,-4.93824,44,Castlemartin Newton
61984,-51.89948,-58.43908,5,Mare Harbour Falkland Islands
61986,52.45663,1.1621948,52,Tibenham Airfield
62009,57.825,-3.956,5,Tain Range North
62013,51.635103,-4.781481,70,Manorbier
62029,51.789221,-0.741146,150,Halton Airfield
62034,54.232628,-3.02315,6,Roudsea Wood and Mosses NNR
62041,50.73662,-3.40458,27,Exeter Airport No 2
62047,51.874763,-1.220301,73,Weston On The Green
62064,35.15,33.277,220,Nicosia UN Flt Cyprus
62065,35.027,33.728,77,Kingsfield Cyprus
62073,51.423060,-0.340439,13,Teddington Rayleigh Avenue
62083,51.5124,-0.4962,30,Iver W Wks
91085,54.68391,-2.44986,847,Great Dun Fell No 2 B
97978,50.733,-3.475,35,Exeter CDL
97979,50.733,-3.475,35,Exeter Development Site
99103,56.82229,-4.96787,1130,Aonach Mor B
99117,57.11636,-3.64165,1237,Cairngorm Summit B
99145,56.87916,-3.41952,928,Cairnwell B
898989,0.0,0.0,0,- Cluster A -
916851,54.0761,-2.85825,7,Morecambe No 2 SUN
917336,56.42351,-4.31873,564,Glen Ogle B
919260,50.733,-3.475,35,Edinburgh Gogarbank CSD1 trial
930270,57.41813,-5.68744,773,Bealach Na Ba No 2 B
989898,0.0,0.0,0,- Cluster B -
991395,50.21782,-5.32656,87,Camborne PRS
996999,50.728,-3.476,35,Mobile MMS Trailer
997979,50.733,-3.475,35,Exeter Development Site PRS
997980,50.733,-3.475,35,Exeter Development Site Cal Radiation
997981,50.733,-3.475,35,Exeter Development SIte Cal Sunshine
998977,50.392963,-4.182212,10,Drake, FOST Training Data
998978,50.733,-3.475,35,Exeter HQ
