"ID","Name","Latitude","Longitude","Region","Country","Continent"
"3872","THORNEY ISLAND (3872)","50.8200","-0.9200","London & South East England","",""
"3874","SOLENT MRSC (3874)","50.8070","-1.2080","London & South East England","ENGLAND","EUROPE"
"3876","SHOREHAM (3876)","50.8360","-0.2920","London & South East England","ENGLAND","EUROPE"
"3882","HERSTMONCEUX WEST END (3882)","50.8900","0.3190","London & South East England","ENGLAND","EUROPE"
"3895","JERSEY (3895)","49.2079","-2.1955","","CHANNEL ISLANDS","EUROPE"
"3903","ST ANGELO (3903)","54.4000","-7.6500","Northern Ireland","NORTHERN IRELAND","EUROPE"
"3904","CASTLEDERG (3904)","54.7070","-7.5770","Northern Ireland","NORTHERN IRELAND","EUROPE"
"3907","MAGILLIGAN (3907)","55.0500","-7.0000","Northern Ireland","",""
"3908","BALLYKELLY SAMOS (3908)","55.0570","-7.0080","","NORTHERN IRELAND","EUROPE"
"3911","LOUGH FEA (3911)","54.7200","-6.8200","Northern Ireland","",""
"3914","PORTRUSH (3914)","55.2080","-6.6550","","",""
"3915","PORTGLENONE (3915)","54.8700","-6.4500","Northern Ireland","",""
"3916","BALLYPATRICK FOREST (3916)","55.1810","-6.1530","Northern Ireland","NORTHERN IRELAND","EUROPE"
"3917","ALDERGROVE (3917)","54.6640","-6.2240","Northern Ireland","NORTHERN IRELAND","EUROPE"
"3923","GLENANNE (3923)","54.2370","-6.5020","Northern Ireland","NORTHERN IRELAND","EUROPE"
"3928","LARNE (3928)","54.8520","-5.8300","","NORTHERN IRELAND","EUROPE"
"99003","CASSLEY (99003)","58.1670","-4.7330","","SCOTLAND","EUROPE"
"99005","DALWHINNIE (99005)","56.9330","-4.2330","","SCOTLAND","EUROPE"
"99006","DUNSTAFFNAGE (99006)","56.4500","-5.4330","","SCOTLAND","EUROPE"
"99008","EAST MALLING (99008)","51.2830","0.4500","","",""
"99010","FYVIE CASTLE (99010)","57.4500","-2.3830","","",""
"99014","KATESBRIDGE (99014)","54.3000","-6.1000","","",""
"99015","KILLOWEN (99015)","54.0670","-6.1830","","",""
"99016","KINBRACE (99016)","58.2330","-3.9170","","SCOTLAND","EUROPE"
"99018","ORLOCK HEAD (99018)","54.6700","-5.5800","Northern Ireland","",""
"99025","SUTTON BONINGTON (99025)","52.8330","-1.2500","","",""
"99049","DURHAM (99049)","54.7670","-1.5830","","ENGLAND","EUROPE"
"99057","WOBURN (99057)","52.0170","-0.6000","","",""
"99058","ROTHAMSTEAD NO2 (99058)","51.8000","-0.3500","","",""
"99060","STONYHURST (99060)","53.8500","-2.4670","","",""
"99062","WINTERBOURNE (99062)","52.4500","-1.9330","","",""
"99063","ROCHDALE (99063)","53.6000","-2.1830","","",""
"99068","WINTERBOURNE (99068)","52.7670","-2.4330","","",""
"99078","MONKS WOOD (99078)","52.4000","-0.2330","","",""
"99080","WISLEY (99080)","51.3170","-0.4670","","",""
"99081","NORTH WYKE (99081)","50.7670","-3.9000","","",""
"99086","HELENS BAY (99086)","54.6670","-5.7500","","",""
"99092","KINLOCHEWE (99092)","57.6130","-5.3080","","",""
"99093","KEELE (99093)","52.9900","-2.2700","","",""
"99095","KEW GARDENS (99095)","51.4820","-0.2900","","ENGLAND","EUROPE"
"99102","ETON DORNEY (99102)","51.4930","-0.6640","London & South East England","",""
"99107","SHEFFIELD CDL (99107)","53.3830","-1.4830","","",""
"99115","NORTHAMPTON  MOULTON PARK (99115)","52.2730","-0.8790","","",""
"99116","HIGH MOWTHORPE (99116)","54.1050","-0.6410","","",""
"99118","SANTON DOWNHAM (99118)","52.4590","0.6740","","",""
"99121","ALTNAHINCH FILTERS (99121)","55.0480","-6.2540","","NORTHERN IRELAND","EUROPE"
"99123","CAMBRIDGE  NIAB (99123)","52.2450","0.1030","","",""
"99124","BROOMS BARN (99124)","52.2600","0.5690","","",""
"99127","WRITTLE (99127)","51.7330","0.4320","","",""
"99130","MURLOUGH (99130)","54.2450","-5.8300","","",""
"99131","BANAGHER  CAUGH HILL (99131)","54.8850","-6.9660","","",""
"99132","DRUMNADROCHIT (99132)","57.3290","-4.4840","","",""
"99139","HAMPSTEAD (99139)","51.5600","-0.1780","","",""
"99142","SCARBOROUGH (99142)","54.2730","-0.4210","","",""
"99159","SWANAGE (99159)","50.6136","-1.9588","","ENGLAND","EUROPE"
